sec,speed,cadence,power,altitude
0.0,11.0988,66.0,79.0,50.0
1.0,11.4984,68.0,78.0,50.0
2.0,11.7972,69.0,111.0,50.0
3.0,12.2976,72.0,123.0,50.0
4.0,12.898800000000001,75.0,142.0,50.0
5.0,12.999600000000001,78.0,203.0,50.0
6.0,13.0968,80.0,78.0,50.0
7.0,13.2984,81.0,88.0,50.0
8.0,13.3992,82.0,93.0,50.0
9.0,13.5,83.0,96.0,50.0
10.0,13.5972,83.0,94.0,50.0
11.0,13.798800000000002,84.0,114.0,50.0
12.0,13.798800000000002,85.0,94.0,50.0
13.0,13.899600000000001,85.0,75.0,50.0
14.0,13.899600000000001,86.0,75.0,50.0
15.0,13.9968,86.0,90.0,50.0
16.0,13.9968,86.0,88.0,50.0
17.0,14.0976,87.0,85.0,50.0
18.0,14.0976,87.0,78.0,50.0
19.0,14.1984,87.0,88.0,50.0
20.0,14.2992,88.0,84.0,50.0
21.0,14.2992,88.0,75.0,50.0
22.0,14.2992,88.0,79.0,50.0
23.0,14.2992,88.0,68.0,50.0
24.0,14.4,88.0,80.0,50.0
25.0,14.597999999999999,89.0,97.0,50.0
26.0,14.6988,90.0,117.0,50.0
27.0,14.7996,91.0,106.0,50.0
28.0,14.8968,92.0,117.0,50.0
29.0,15.0984,92.0,93.0,50.0
30.0,15.0984,93.0,106.0,50.0
31.0,15.199200000000001,93.0,91.0,50.0
32.0,15.199200000000001,94.0,87.0,50.0
33.0,15.199200000000001,94.0,81.0,50.0
34.0,15.3,94.0,81.0,50.0
35.0,15.3,94.0,80.0,50.0
36.0,15.3,95.0,92.0,50.0
37.0,15.3,95.0,89.0,50.0
38.0,15.3,95.0,80.0,50.0
39.0,15.3,95.0,66.0,50.0
40.0,15.3,95.0,70.0,50.0
41.0,15.199200000000001,95.0,74.0,50.0
42.0,15.199200000000001,94.0,69.0,50.0
43.0,15.199200000000001,94.0,78.0,50.0
44.0,15.199200000000001,94.0,70.0,50.0
45.0,15.199200000000001,94.0,78.0,50.0
46.0,15.199200000000001,94.0,70.0,50.0
47.0,15.199200000000001,94.0,77.0,50.0
48.0,15.199200000000001,94.0,82.0,50.0
49.0,15.199200000000001,94.0,86.0,50.0
50.0,15.199200000000001,94.0,75.0,50.0
51.0,15.199200000000001,94.0,73.0,50.0
52.0,15.199200000000001,94.0,77.0,50.0
53.0,15.199200000000001,94.0,80.0,50.0
54.0,15.199200000000001,94.0,97.0,50.0
55.0,15.199200000000001,94.0,73.0,50.0
56.0,15.199200000000001,94.0,71.0,50.0
57.0,15.199200000000001,94.0,77.0,50.0
58.0,15.199200000000001,94.0,86.0,50.0
59.0,15.199200000000001,94.0,78.0,50.0
60.0,15.199200000000001,94.0,71.0,50.0
61.0,15.199200000000001,94.0,84.0,50.0
62.0,15.199200000000001,94.0,82.0,50.0
63.0,15.3,94.0,82.0,50.0
64.0,15.3,94.0,90.0,50.0
65.0,15.3,95.0,73.0,50.0
66.0,15.3,95.0,77.0,50.0
67.0,15.3,94.0,76.0,50.0
68.0,15.3,94.0,84.0,50.0
69.0,15.3,94.0,89.0,50.0
70.0,15.3,94.0,84.0,50.0
71.0,15.3,95.0,84.0,50.0
72.0,15.3,95.0,76.0,50.0
73.0,15.3,95.0,86.0,50.0
74.0,15.3,95.0,84.0,50.0
75.0,15.397200000000002,95.0,85.0,50.0
76.0,15.397200000000002,95.0,87.0,50.0
77.0,15.397200000000002,96.0,83.0,50.0
78.0,15.397200000000002,95.0,80.0,50.0
79.0,15.397200000000002,95.0,83.0,50.0
80.0,15.397200000000002,95.0,81.0,50.0
81.0,15.397200000000002,96.0,79.0,50.0
82.0,15.397200000000002,95.0,73.0,50.0
83.0,15.397200000000002,95.0,79.0,50.0
84.0,15.397200000000002,95.0,75.0,50.0
85.0,15.397200000000002,95.0,76.0,50.0
86.0,15.397200000000002,95.0,82.0,50.0
87.0,15.397200000000002,95.0,81.0,50.0
88.0,15.498,95.0,87.0,50.0
89.0,15.498,96.0,84.0,50.0
90.0,15.498,96.0,82.0,50.0
91.0,15.498,96.0,88.0,50.0
92.0,15.5988,96.0,87.0,50.0
93.0,15.5988,96.0,74.0,50.0
94.0,15.498,96.0,76.0,50.0
95.0,15.5988,96.0,82.0,50.0
96.0,15.498,96.0,82.0,50.0
97.0,15.498,96.0,78.0,50.0
98.0,15.498,96.0,74.0,50.0
99.0,15.498,96.0,82.0,50.0
100.0,15.498,96.0,85.0,50.0
101.0,15.498,96.0,78.0,50.0
102.0,15.498,96.0,79.0,50.0
103.0,15.498,96.0,89.0,50.0
104.0,15.6996,96.0,85.0,50.0
105.0,15.5988,96.0,89.0,50.0
106.0,15.498,96.0,73.0,50.0
107.0,15.5988,96.0,86.0,50.0
108.0,15.5988,96.0,88.0,50.0
109.0,15.5988,96.0,80.0,50.0
110.0,15.5988,96.0,80.0,50.0
111.0,15.5988,96.0,82.0,50.0
112.0,15.5988,96.0,84.0,50.0
113.0,15.5988,97.0,83.0,50.0
114.0,15.5988,96.0,79.0,50.0
115.0,15.5988,96.0,85.0,50.0
116.0,15.5988,96.0,80.0,50.0
117.0,15.5988,96.0,88.0,50.0
118.0,15.6996,97.0,94.0,50.0
119.0,15.6996,97.0,84.0,50.0
120.0,15.5988,97.0,82.0,50.0
121.0,15.5988,97.0,82.0,50.0
122.0,15.5988,97.0,79.0,50.0
123.0,15.5988,97.0,82.0,50.0
124.0,15.5988,97.0,76.0,50.0
125.0,15.5988,97.0,79.0,50.0
126.0,15.5988,96.0,76.0,50.0
127.0,15.5988,96.0,80.0,50.0
128.0,15.5988,96.0,72.0,50.0
129.0,15.5988,96.0,83.0,50.0
130.0,15.498,96.0,81.0,50.0
131.0,15.498,96.0,78.0,50.0
132.0,15.5988,96.0,91.0,50.0
133.0,15.6996,96.0,95.0,50.0
134.0,15.5988,97.0,84.0,50.0
135.0,15.6996,97.0,86.0,50.0
136.0,15.5988,97.0,92.0,50.0
137.0,15.6996,97.0,79.0,50.0
138.0,15.6996,97.0,83.0,50.0
139.0,15.6996,97.0,88.0,50.0
140.0,15.6996,97.0,83.0,50.0
141.0,15.6996,97.0,90.0,50.0
142.0,15.6996,97.0,75.0,50.0
143.0,15.6996,97.0,83.0,50.0
144.0,15.6996,97.0,80.0,50.0
145.0,15.6996,97.0,90.0,50.0
146.0,15.6996,98.0,93.0,50.0
147.0,15.6996,97.0,77.0,50.0
148.0,15.6996,97.0,78.0,50.0
149.0,15.6996,97.0,85.0,50.0
150.0,15.6996,97.0,84.0,50.0
151.0,15.7968,97.0,82.0,50.0
152.0,15.9984,98.0,124.0,50.0
153.0,16.2,99.0,126.0,50.0
154.0,16.2,100.0,124.0,50.0
155.0,16.2,100.0,91.0,50.0
156.0,16.2972,100.0,101.0,50.0
157.0,16.2972,101.0,98.0,50.0
158.0,16.398,101.0,109.0,50.0
159.0,16.498800000000003,102.0,97.0,50.0
160.0,16.498800000000003,102.0,102.0,50.0
161.0,16.498800000000003,102.0,95.0,50.0
162.0,16.498800000000003,102.0,80.0,50.0
163.0,16.498800000000003,102.0,85.0,50.0
164.0,16.498800000000003,102.0,90.0,50.0
165.0,16.498800000000003,102.0,89.0,50.0
166.0,16.6968,103.0,101.0,50.0
167.0,16.5996,103.0,107.0,50.0
168.0,16.6968,103.0,88.0,50.0
169.0,16.6968,103.0,107.0,50.0
170.0,16.797600000000003,103.0,97.0,50.0
171.0,16.8984,104.0,114.0,50.0
172.0,16.999200000000002,105.0,126.0,50.0
173.0,17.1,105.0,115.0,50.0
174.0,17.1,106.0,110.0,50.0
175.0,17.197200000000002,106.0,103.0,50.0
176.0,17.298,106.0,101.0,50.0
177.0,17.4996,107.0,143.0,50.0
178.0,17.5968,108.0,154.0,50.0
179.0,17.6976,108.0,131.0,50.0
180.0,17.7984,109.0,111.0,243.0
181.0,17.8992,110.0,130.0,243.0
182.0,17.8992,110.0,96.0,243.0
183.0,17.8992,111.0,121.0,243.0
184.0,17.6976,110.0,118.0,243.0
185.0,17.3988,110.0,136.0,243.0
186.0,16.999200000000002,108.0,141.0,243.0
187.0,16.999200000000002,106.0,192.0,243.0
188.0,17.1,105.0,407.0,243.0
189.0,17.197200000000002,106.0,397.0,243.0
190.0,17.1,106.0,359.0,243.0
191.0,17.197200000000002,106.0,210.0,243.0
192.0,17.1,106.0,200.0,243.0
193.0,16.8984,106.0,159.0,243.0
194.0,16.797600000000003,105.0,156.0,243.0
195.0,16.797600000000003,104.0,199.0,243.0
196.0,16.6968,104.0,260.0,243.0
197.0,16.5996,104.0,229.0,243.0
198.0,16.5996,103.0,224.0,243.0
199.0,16.498800000000003,103.0,257.0,243.0
200.0,16.6968,102.0,245.0,243.0
201.0,16.6968,103.0,329.0,243.0
202.0,16.6968,104.0,270.0,243.0
203.0,16.5996,103.0,220.0,243.0
204.0,16.498800000000003,103.0,228.0,243.0
205.0,16.498800000000003,102.0,224.0,243.0
206.0,16.398,102.0,225.0,243.0
207.0,16.398,102.0,247.0,243.0
208.0,16.398,102.0,225.0,243.0
209.0,16.398,102.0,252.0,243.0
210.0,16.498800000000003,102.0,249.0,243.0
211.0,16.398,102.0,288.0,243.0
212.0,16.398,102.0,221.0,243.0
213.0,16.398,101.0,230.0,243.0
214.0,16.398,101.0,241.0,243.0
215.0,16.398,101.0,260.0,243.0
216.0,16.2972,101.0,239.0,243.0
217.0,16.398,101.0,246.0,243.0
218.0,16.398,102.0,262.0,243.0
219.0,16.398,102.0,242.0,243.0
220.0,16.398,101.0,244.0,243.0
221.0,16.2972,101.0,223.0,243.0
222.0,16.2972,101.0,261.0,243.0
223.0,16.2972,101.0,240.0,243.0
224.0,16.2,101.0,218.0,243.0
225.0,16.2972,101.0,262.0,243.0
226.0,16.2,101.0,232.0,243.0
227.0,16.2972,100.0,225.0,243.0
228.0,16.398,101.0,262.0,243.0
229.0,16.398,101.0,276.0,243.0
230.0,16.6968,102.0,237.0,243.0
231.0,16.498800000000003,102.0,262.0,243.0
232.0,16.498800000000003,102.0,245.0,243.0
233.0,16.498800000000003,102.0,251.0,243.0
234.0,16.498800000000003,102.0,252.0,243.0
235.0,16.498800000000003,102.0,245.0,243.0
236.0,16.498800000000003,102.0,249.0,243.0
237.0,16.498800000000003,102.0,256.0,243.0
238.0,16.498800000000003,102.0,221.0,243.0
239.0,16.498800000000003,102.0,222.0,243.0
240.0,16.498800000000003,102.0,238.0,243.0
241.0,16.498800000000003,102.0,234.0,243.0
242.0,16.398,102.0,232.0,243.0
243.0,16.398,102.0,235.0,243.0
244.0,16.398,101.0,240.0,243.0
245.0,16.398,102.0,214.0,243.0
246.0,16.498800000000003,101.0,242.0,243.0
247.0,16.498800000000003,102.0,254.0,243.0
248.0,16.398,102.0,261.0,243.0
249.0,16.398,102.0,197.0,243.0
250.0,16.398,101.0,231.0,243.0
251.0,16.498800000000003,102.0,231.0,243.0
252.0,16.498800000000003,102.0,265.0,243.0
253.0,16.498800000000003,102.0,255.0,243.0
254.0,16.5996,102.0,257.0,243.0
255.0,16.498800000000003,102.0,240.0,243.0
256.0,16.498800000000003,102.0,228.0,243.0
257.0,16.498800000000003,102.0,237.0,243.0
258.0,16.498800000000003,102.0,254.0,243.0
259.0,16.5996,102.0,259.0,243.0
260.0,16.498800000000003,102.0,255.0,243.0
261.0,16.498800000000003,102.0,219.0,243.0
262.0,16.498800000000003,102.0,247.0,243.0
263.0,16.498800000000003,102.0,241.0,243.0
264.0,16.498800000000003,102.0,224.0,243.0
265.0,16.398,102.0,248.0,243.0
266.0,16.398,102.0,219.0,243.0
267.0,16.2972,102.0,227.0,243.0
268.0,16.2972,101.0,210.0,243.0
269.0,16.498800000000003,101.0,304.0,243.0
270.0,16.2972,102.0,249.0,243.0
271.0,16.398,101.0,218.0,243.0
272.0,16.498800000000003,101.0,234.0,243.0
273.0,16.498800000000003,101.0,308.0,243.0
274.0,16.5996,102.0,261.0,243.0
275.0,16.498800000000003,102.0,218.0,243.0
276.0,16.398,102.0,248.0,243.0
277.0,16.398,102.0,225.0,243.0
278.0,16.398,102.0,225.0,243.0
279.0,16.498800000000003,102.0,272.0,243.0
280.0,16.498800000000003,102.0,264.0,243.0
281.0,16.498800000000003,102.0,248.0,243.0
282.0,16.498800000000003,102.0,252.0,243.0
283.0,16.498800000000003,102.0,236.0,243.0
284.0,16.498800000000003,102.0,238.0,243.0
285.0,16.498800000000003,102.0,250.0,243.0
286.0,16.498800000000003,102.0,224.0,243.0
287.0,16.498800000000003,102.0,240.0,243.0
288.0,16.2972,102.0,208.0,243.0
289.0,16.398,101.0,206.0,243.0
290.0,16.398,101.0,271.0,243.0
291.0,16.2972,101.0,201.0,243.0
292.0,16.398,101.0,253.0,243.0
293.0,16.398,101.0,246.0,243.0
294.0,16.498800000000003,102.0,259.0,243.0
295.0,16.5996,102.0,268.0,243.0
296.0,16.498800000000003,102.0,258.0,243.0
297.0,16.498800000000003,102.0,250.0,243.0
298.0,16.498800000000003,102.0,220.0,243.0
299.0,16.398,102.0,240.0,243.0
300.0,16.398,102.0,242.0,243.0
301.0,16.398,102.0,232.0,243.0
302.0,16.398,101.0,227.0,243.0
303.0,16.498800000000003,102.0,246.0,243.0
304.0,16.398,102.0,258.0,243.0
305.0,16.2972,102.0,196.0,243.0
306.0,16.2,101.0,190.0,243.0
307.0,16.2972,101.0,260.0,243.0
308.0,16.2972,101.0,254.0,243.0
309.0,16.2972,101.0,237.0,243.0
310.0,16.398,101.0,265.0,243.0
311.0,16.398,101.0,236.0,243.0
312.0,16.2972,101.0,234.0,243.0
313.0,16.2972,101.0,236.0,243.0
314.0,16.2,101.0,209.0,243.0
315.0,16.2972,100.0,230.0,243.0
316.0,16.398,101.0,259.0,243.0
317.0,16.2972,102.0,235.0,243.0
318.0,16.398,101.0,239.0,243.0
319.0,16.2972,101.0,228.0,243.0
320.0,16.2972,101.0,254.0,243.0
321.0,16.2972,101.0,259.0,243.0
322.0,16.2972,101.0,228.0,243.0
323.0,16.2972,101.0,252.0,243.0
324.0,16.2972,101.0,249.0,243.0
325.0,16.2,101.0,221.0,243.0
326.0,16.2,100.0,244.0,243.0
327.0,16.2972,100.0,250.0,243.0
328.0,16.2,101.0,300.0,243.0
329.0,16.2972,101.0,222.0,243.0
330.0,16.2972,101.0,230.0,243.0
331.0,16.2972,101.0,234.0,243.0
332.0,16.2972,101.0,240.0,243.0
333.0,16.2972,100.0,240.0,243.0
334.0,16.2,100.0,245.0,243.0
335.0,16.398,101.0,269.0,243.0
336.0,16.398,101.0,256.0,243.0
337.0,16.2972,101.0,248.0,243.0
338.0,16.398,101.0,219.0,243.0
339.0,16.398,101.0,229.0,243.0
340.0,16.2972,101.0,262.0,243.0
341.0,16.398,101.0,263.0,243.0
342.0,16.498800000000003,101.0,283.0,243.0
343.0,16.498800000000003,102.0,260.0,243.0
344.0,16.498800000000003,102.0,240.0,243.0
345.0,16.398,102.0,236.0,243.0
346.0,16.498800000000003,102.0,227.0,243.0
347.0,16.498800000000003,102.0,294.0,243.0
348.0,16.498800000000003,102.0,243.0,243.0
349.0,16.498800000000003,102.0,246.0,243.0
350.0,16.498800000000003,102.0,227.0,243.0
351.0,16.5996,102.0,244.0,243.0
352.0,16.498800000000003,102.0,229.0,243.0
353.0,16.498800000000003,102.0,250.0,243.0
354.0,16.498800000000003,102.0,242.0,243.0
355.0,16.498800000000003,102.0,249.0,243.0
356.0,16.5996,102.0,214.0,243.0
357.0,16.5996,103.0,285.0,243.0
358.0,16.5996,103.0,256.0,243.0
359.0,16.498800000000003,103.0,229.0,243.0
360.0,16.498800000000003,102.0,219.0,243.0
361.0,16.498800000000003,103.0,226.0,243.0
362.0,16.398,102.0,224.0,243.0
363.0,16.498800000000003,102.0,231.0,243.0
364.0,16.498800000000003,102.0,264.0,243.0
365.0,16.498800000000003,102.0,236.0,243.0
366.0,16.6968,103.0,274.0,243.0
367.0,16.5996,103.0,270.0,243.0
368.0,16.498800000000003,103.0,234.0,243.0
369.0,16.498800000000003,102.0,210.0,243.0
370.0,16.498800000000003,102.0,235.0,243.0
371.0,16.498800000000003,102.0,236.0,243.0
372.0,16.398,102.0,234.0,243.0
373.0,16.498800000000003,102.0,248.0,243.0
374.0,16.498800000000003,102.0,247.0,243.0
375.0,16.498800000000003,102.0,256.0,243.0
376.0,16.498800000000003,102.0,231.0,243.0
377.0,16.498800000000003,102.0,243.0,243.0
378.0,16.498800000000003,102.0,255.0,243.0
379.0,16.5996,102.0,250.0,243.0
380.0,16.5996,103.0,252.0,243.0
381.0,16.6968,103.0,247.0,243.0
382.0,16.5996,103.0,251.0,243.0
383.0,16.5996,103.0,210.0,243.0
384.0,16.498800000000003,103.0,241.0,243.0
385.0,16.498800000000003,102.0,225.0,243.0
386.0,16.498800000000003,102.0,249.0,243.0
387.0,16.5996,102.0,266.0,243.0
388.0,16.6968,103.0,261.0,243.0
389.0,16.6968,103.0,254.0,243.0
390.0,16.6968,103.0,259.0,243.0
391.0,16.6968,103.0,255.0,243.0
392.0,16.6968,103.0,261.0,243.0
393.0,16.5996,103.0,240.0,243.0
394.0,16.6968,103.0,216.0,243.0
395.0,16.6968,103.0,267.0,243.0
396.0,16.5996,103.0,229.0,243.0
397.0,16.5996,103.0,234.0,243.0
398.0,16.498800000000003,103.0,223.0,243.0
399.0,16.5996,102.0,227.0,243.0
400.0,16.5996,102.0,229.0,243.0
401.0,16.5996,102.0,250.0,243.0
402.0,16.5996,103.0,244.0,243.0
403.0,16.5996,103.0,237.0,243.0
404.0,16.5996,103.0,250.0,243.0
405.0,16.6968,103.0,246.0,243.0
406.0,16.6968,103.0,266.0,243.0
407.0,16.5996,103.0,244.0,243.0
408.0,16.6968,103.0,238.0,243.0
409.0,16.6968,103.0,262.0,243.0
410.0,16.5996,103.0,231.0,243.0
411.0,16.5996,103.0,233.0,243.0
412.0,16.5996,103.0,255.0,243.0
413.0,16.5996,103.0,254.0,243.0
414.0,16.498800000000003,103.0,228.0,243.0
415.0,16.5996,103.0,218.0,243.0
416.0,16.5996,103.0,279.0,243.0
417.0,16.5996,103.0,245.0,243.0
418.0,16.6968,103.0,258.0,243.0
