sec,hr,ve,vo2,vco2,fat,cho,rer
-42.0,88.0,40.303,1765.8278725,1327.9267942,10174.0,1847.0,0.7520137239197418
-39.0,87.0,14.336,537.7875212,367.5480921,3602.0,0.0,0.6834448134457755
-34.0,87.0,20.927,1077.164723,751.2835987,7239.0,0.0,0.6974639836028124
-30.0,88.0,24.259,1198.2982772,832.2858553,8048.0,0.0,0.6945564982741678
-25.0,88.0,27.007,1414.7536646,976.8985617,9493.0,0.0,0.6905078856793088
-23.0,88.0,18.121,786.5364733,519.5968985,5240.0,0.0,0.6606138636139456
-20.0,92.0,21.378,1007.9686421,675.1077864,6730.0,0.0,0.6697706240081851
-17.0,95.0,15.604,808.5737738,548.1846622,5409.0,0.0,0.6779649303040505
-12.0,98.0,24.147,1232.69795,821.0843183,8223.0,0.0,0.6660871937849819
-10.0,97.0,20.912,960.1081901,620.8753078,6375.0,0.0,0.6466722336108108
-4.0,94.0,19.387,908.1490724,604.92053,6058.0,0.0,0.6661026789372295
-1.0,92.0,26.0,1448.1105906,920.5330331,9591.0,0.0,0.6356786830200536
3.0,93.0,51.461,2831.7481713,1883.4971767,18887.0,0.0,0.6651358322711738
4.0,93.0,7.018,210.2545756,133.5189327,1392.0,0.0,0.635034611346646
8.0,94.0,38.922,1903.123353,1290.4592265,12732.0,0.0,0.6780744004143383
12.0,97.0,47.015,1932.182165,1437.7334007,11466.0,1662.0,0.7440982671010214
13.0,97.0,15.305,503.6413219,356.1314871,3391.0,1.0,0.7071133197659094
15.0,95.0,23.755,843.3313763,582.2781878,5658.0,0.0,0.6904500462850857
17.0,95.0,12.458,415.513642,254.0344067,2736.0,0.0,0.6113744075338927
20.0,97.0,32.122,1442.8783864,1007.3046668,9699.0,0.0,0.6981216686689985
24.0,100.0,36.314,1745.073719,1248.4005147,11441.0,337.0,0.7153855456693173
27.0,100.0,26.22,1309.7527525,924.2686128,8820.0,0.0,0.7056817487390621
31.0,101.0,44.634,1874.8801208,1433.5846924,10283.0,2518.0,0.7646273895038677
35.0,99.0,24.435,1070.2583975,807.661467,6105.0,1185.0,0.7546415602873137
39.0,98.0,21.408,1003.8058489,736.3115015,6188.0,616.0,0.7335198358396415
42.0,97.0,28.071,1438.8603509,1018.716678,9661.0,33.0,0.7080024669265491
47.0,96.0,23.06,1178.4781519,838.6729873,7820.0,126.0,0.7116576458781612
51.0,96.0,27.925,1495.7114243,1031.8393623,10034.0,0.0,0.6898652678158861
55.0,96.0,28.263,1435.6153921,1004.7791023,9654.0,0.0,0.6998943504152751
58.0,96.0,30.531,1560.5721525,1097.3134442,10502.0,0.0,0.7031481642435626
62.0,95.0,29.22,1468.7719322,1051.6095825,9611.0,304.0,0.715978811580942
65.0,97.0,35.123,1795.6694852,1272.7866202,12026.0,75.0,0.7088089599396619
