sec,speed,cadence,power,altitude
0.0,6.0984,0.0,0.0,50.0
1.0,6.9984,36.0,112.0,50.0
2.0,7.599600000000001,36.0,112.0,50.0
3.0,8.1,44.0,102.0,50.0
4.0,8.5968,44.0,102.0,50.0
5.0,9.0,49.0,87.0,50.0
6.0,9.3996,52.0,98.0,50.0
7.0,9.6984,55.0,102.0,50.0
8.0,10.098,58.0,85.0,50.0
9.0,10.3968,60.0,100.0,50.0
10.0,10.6992,62.0,101.0,50.0
11.0,11.1996,66.0,106.0,50.0
12.0,11.3976,68.0,132.0,50.0
13.0,11.7,70.0,94.0,50.0
14.0,11.9988,71.0,100.0,50.0
15.0,12.2976,73.0,108.0,50.0
16.0,12.4992,75.0,113.0,50.0
17.0,12.6972,77.0,112.0,50.0
18.0,12.8988,78.0,95.0,50.0
19.0,12.9996,80.0,105.0,50.0
20.0,13.1976,80.0,88.0,50.0
21.0,13.2984,81.0,90.0,50.0
22.0,13.5,83.0,102.0,50.0
23.0,13.798800000000002,83.0,107.0,50.0
24.0,13.8996,85.0,115.0,50.0
25.0,13.9968,86.0,96.0,50.0
26.0,13.9968,86.0,84.0,50.0
27.0,13.9968,87.0,84.0,50.0
28.0,13.9968,87.0,63.0,50.0
29.0,13.8996,87.0,59.0,50.0
30.0,13.798800000000002,86.0,47.0,50.0
31.0,13.698,86.0,43.0,50.0
32.0,13.698,85.0,42.0,50.0
33.0,13.798800000000002,85.0,66.0,50.0
34.0,13.798800000000002,85.0,82.0,50.0
35.0,13.798800000000002,85.0,77.0,50.0
36.0,13.8996,86.0,74.0,50.0
37.0,13.798800000000002,86.0,67.0,50.0
38.0,13.798800000000002,86.0,59.0,50.0
39.0,13.798800000000002,85.0,66.0,50.0
40.0,13.798800000000002,85.0,70.0,50.0
41.0,13.798800000000002,85.0,67.0,50.0
42.0,13.798800000000002,86.0,86.0,50.0
43.0,13.798800000000002,86.0,63.0,50.0
44.0,13.798800000000002,86.0,65.0,50.0
45.0,13.798800000000002,86.0,65.0,50.0
46.0,13.8996,85.0,69.0,50.0
47.0,13.8996,86.0,83.0,50.0
48.0,13.8996,86.0,78.0,50.0
49.0,13.9968,86.0,73.0,50.0
50.0,13.9968,86.0,80.0,50.0
51.0,14.0976,87.0,83.0,50.0
52.0,14.0976,87.0,78.0,50.0
