sec,hr,ve,vo2,vco2,fat,cho,rer
-14.0,70.0,31.548,975.7365222,1057.5503449,0.0,7155.0,1.0838482734207118
-10.0,70.0,13.731,393.1485079,428.9754361,0.0,2887.0,1.0911282313937023
-7.0,70.0,15.632,450.1888076,500.0337901,0.0,3320.0,1.110720172644292
-4.0,72.0,18.585,551.4562698,621.6456319,0.0,4082.0,1.127280014651853
-1.0,78.0,20.049,623.8669877,710.924342,0.0,4630.0,1.139544736324249
2.0,83.0,20.153,717.9534068,773.9871328,0.0,5258.0,1.078046465786337
9.0,98.0,27.208,1143.5562065,1251.0057993,0.0,8404.0,1.0939609196200888
12.0,104.0,29.691,1119.0064778,1211.2761662,0.0,8203.0,1.0824567955865678
15.0,107.0,26.366,926.7906033,1000.938304,0.0,6790.0,1.080004804144522
18.0,109.0,28.664,1046.5892151,1110.9152117,0.0,7637.0,1.061462506656782
21.0,111.0,26.05,1001.0493097,1026.3337457,0.0,7248.0,1.0252579326063145
26.0,114.0,40.388,1500.2194369,1575.5636966,0.0,10921.0,1.050222159403353
29.0,114.0,24.401,1004.8417374,944.3678594,1466.0,5673.0,0.9398175098135608
33.0,118.0,35.018,1569.9535461,1484.8350061,2067.0,9102.0,0.9457827652216544
36.0,118.0,30.549,1366.8783399,1240.3358345,3046.0,6595.0,0.9074222615823602
39.0,118.0,32.69,1527.5033761,1368.2655289,3823.0,6923.0,0.895752867265954
43.0,120.0,42.0,1903.8374011,1787.5991933,2818.0,10706.0,0.9389453071292538
47.0,121.0,25.973,1173.7598296,1096.5201948,1871.0,6458.0,0.9341946854440212
51.0,122.0,42.224,2008.9854256,1863.0469118,3529.0,10705.0,0.927357106756305
54.0,123.0,31.461,1512.7379094,1397.0905986,2794.0,7914.0,0.9235509931486616
57.0,123.0,35.107,1614.66469,1473.9282981,3392.0,8011.0,0.9128386266377077
61.0,121.0,42.04,1734.0868102,1750.1307604,0.0,12511.0,1.00925210324283
64.0,120.0,36.116,1440.4518091,1451.2797349,0.0,10388.0,1.0075170343996205
66.0,121.0,39.632,1688.5653774,1701.1598433,0.0,12178.0,1.007458678277173
71.0,122.0,46.915,1749.6251957,1909.8316901,0.0,12851.0,1.091566179312995
73.0,121.0,32.941,1263.0664034,1335.7065517,0.0,9209.0,1.0575109496258177
75.0,120.0,36.955,1473.7715773,1530.7973731,0.0,10701.0,1.0386937817761916
79.0,119.0,37.263,1433.5774012,1532.5061883,0.0,10478.0,1.0690083332906826
