sec,hr,ve,vo2,vco2,fat,cho,phases,rer
2.0,0,33.46,1303.4635027,1145.8723374,3770,5366,NONE,0.8790981374057925
5.0,0,47.695,1792.8084607,1545.2552459,5898,6618,NONE,0.8619187602989429
9.0,0,53.617,1807.7069693,1672.8596776,3259,9543,NONE,0.9254042308902436
12.0,0,42.854,1462.8946269,1270.4569352,4592,5636,NONE,0.8684541674011121
15.0,0,48.614,1869.0143829,1534.2279823,7903,5024,NONE,0.8208754284273945
18.0,0,45.411,1951.7514647,1483.9367019,10890,2422,NONE,0.7603102796329106
21.0,0,47.271,2268.011705,1619.9235993,14925,379,NONE,0.7142483417209701
24.0,0,42.919,2198.6116515,1478.3627082,14689,0,NONE,0.6724073836283861
27.0,0,33.314,2228.250697,1365.3641766,14677,0,NONE,0.6127515985693418
30.0,0,60.688,3602.7120227,2233.0559724,23770,0,NONE,0.6198263858809533
33.0,0,51.107,3179.9711903,2032.5556041,21078,0,NONE,0.6391742196595962
36.0,0,68.161,3833.7873667,2479.3067969,25458,0,NONE,0.6466990888527308
38.0,0,75.974,3960.9066771,2681.3998526,26492,0,NONE,0.6769661774922711
40.0,0,73.473,3651.6756781,2566.842576,24574,0,NONE,0.7029218370607193
42.0,0,73.441,3652.1564286,2639.9802937,23356,1336,NONE,0.7228552076867084
44.0,0,76.178,3766.5936731,2765.9816972,23151,2383,NONE,0.7343456547898697
47.0,0,74.466,3569.4735831,2678.4216224,20694,3595,NONE,0.7503688037029418
49.0,0,74.466,3582.9956234,2722.8030909,20021,4414,NONE,0.7599236440920515
51.0,0,76.456,3711.1153753,2876.9022909,19486,5913,NONE,0.7752123014142174
53.0,0,81.397,3909.348103,3077.8548387,19477,7354,NONE,0.7873064146777006
55.0,0,89.97,4120.617957,3288.362677,19543,8808,NONE,0.7980265851663859
57.0,0,93.06,4139.1485016,3392.120017,17628,10990,NONE,0.8195212169094118
59.0,0,89.909,3924.2305357,3285.8957883,15125,12119,NONE,0.8373350541990687
61.0,0,88.09,3855.6211268,3276.1141449,13770,13073,NONE,0.8496981516487939
63.0,0,91.723,3989.813695,3421.7770798,13521,14306,NONE,0.8576282857738801
65.0,0,89.667,3813.0530342,3229.047708,13867,12661,NONE,0.846840492130074
67.0,0,92.23,3988.531832,3407.1507835,13828,13968,NONE,0.8542368287409471
69.0,0,98.313,4291.7649855,3670.6201781,14778,15139,NONE,0.8552705449859027
71.0,0,93.341,4041.2663049,3483.2735557,13295,14918,NONE,0.8619262609535436
72.0,0,93.568,3939.1402674,3432.5328478,12097,15463,NONE,0.871391373444444
74.0,0,98.094,4191.8755044,3687.8573191,12058,17325,NONE,0.8797630834286568
77.0,0,72.584,3209.4204902,2834.5511386,8975,13539,NONE,0.8831971838078968
79.0,0,100.877,4362.4621272,3856.6309434,12113,18496,NONE,0.8840491518204509
81.0,0,97.077,4181.1987755,3730.8086587,10805,18586,NONE,0.8922820604848806
83.0,0,102.968,4364.4887861,3937.4594583,10268,20480,NONE,0.9021582254581566
84.0,0,95.674,4010.0788873,3665.9575367,8297,20031,NONE,0.91418589003577
86.0,0,96.375,3994.9785012,3682.7950578,7540,20730,NONE,0.921856039198652
88.0,0,103.783,4207.3380109,3893.3706621,7589,22207,NONE,0.9253762478824852
90.0,0,101.934,4129.205432,3861.2605138,6490,22816,NONE,0.9351098116544376
92.0,0,107.325,4260.4491136,4005.7164033,6177,24094,NONE,0.9402098925470428
93.0,0,107.895,4207.092278,4009.3109083,4810,25168,NONE,0.952988582937852
95.0,0,102.3,4069.1825473,3850.0184211,5322,23629,NONE,0.9461405027539448
97.0,0,101.38,4045.5661929,3819.1459641,5495,23274,NONE,0.9440324992834456
99.0,0,104.363,4183.942955,3973.4291809,5116,24675,NONE,0.9496853144595514
101.0,0,106.18,4224.5469325,3991.5645543,5656,24392,NONE,0.9448503278759584
103.0,0,104.489,4080.5891589,3908.4965141,4190,24918,NONE,0.9578265201178962
104.0,0,105.165,4075.4803123,3919.8590832,3792,25305,NONE,0.961815242088073
106.0,0,104.915,4034.0606571,3893.3079048,3432,25390,NONE,0.9651089152434352
108.0,0,108.853,4208.063081,4099.9690691,2641,27486,NONE,0.9743126446017264
110.0,0,103.932,3998.1140356,3876.8341055,2960,25634,NONE,0.9696657151296588
112.0,0,103.026,4083.6775332,3980.9832288,2510,26730,NONE,0.9748524942126052
114.0,0,109.243,4206.5433532,4097.735732,2659,27456,NONE,0.9741337216655028
115.0,0,107.09,4104.9147958,4018.8666374,2105,27314,NONE,0.9790377723581396
117.0,0,93.735,3610.6734101,3555.5670022,1350,24560,NONE,0.9847379140561832
120.0,0,72.894,3118.3487123,2995.9057625,2983,19275,NONE,0.9607346832902182
122.0,0,120.0,5010.6878775,4740.3592869,6564,29085,NONE,0.9460496049227326
124.0,0,116.921,4629.904646,4475.5690228,3765,29326,NONE,0.9666654855768276
125.0,0,114.282,4328.5028372,4167.9681314,3913,26998,NONE,0.9629121865370324
127.0,0,116.838,4337.589259,4283.582404,1323,29822,NONE,0.987549108093178
129.0,0,116.259,4211.3255125,4187.9789524,573,29712,NONE,0.9944562442322012
130.0,0,116.671,4266.6175945,4292.3293522,0,30760,NONE,1.0060262625207248
132.0,0,110.523,4098.6198786,4130.8051783,0,29561,NONE,1.0078527164395137
134.0,0,119.164,4243.1013876,4317.8327211,0,30669,NONE,1.0176124317270367
135.0,0,119.818,4215.7892635,4303.1061429,0,30492,NONE,1.0207118700538431
137.0,0,116.444,4157.5915256,4229.8005093,0,30049,NONE,1.0173679841454797
139.0,0,114.568,4109.9834058,4181.1282487,0,29705,NONE,1.017310250644711
140.0,0,113.655,4086.1070379,4161.5278672,0,29539,NONE,1.0184578692140092
142.0,0,117.072,4321.8783411,4353.3007088,0,31167,NONE,1.0072705349896551
144.0,0,93.415,3360.9079145,3388.9146362,0,24243,NONE,1.008333082135089
146.0,0,76.785,3491.1459901,3435.9784443,1351,23698,NONE,0.9841978691362546
148.0,0,116.096,4694.5868532,4505.5344928,4604,28897,NONE,0.9597297128987752
150.0,0,115.71,4517.0723278,4421.6360214,2334,30037,NONE,0.9788720880529976
152.0,0,115.103,4306.9848459,4231.3521603,1851,29039,NONE,0.982439528276493
153.0,0,120.287,4417.2493702,4408.7142269,210,31581,NONE,0.9980677696492344
155.0,0,124.638,4449.2045396,4484.1075338,0,32090,NONE,1.0078447717764707
157.0,0,121.567,4223.5437727,4265.4548787,0,30476,NONE,1.0099232086265812
158.0,0,126.318,4359.1176913,4415.6328045,0,31475,NONE,1.0129648055414502
160.0,0,120.397,4119.2885456,4177.4718515,0,29751,NONE,1.0141246007061455
161.0,0,119.846,4176.2655938,4233.6080221,0,30160,NONE,1.013730551137631
163.0,0,124.462,4411.6131056,4423.6375212,0,31783,NONE,1.0027256278626828
164.0,0,121.273,4312.4410434,4382.6296651,0,31161,NONE,1.0162758449318212
166.0,0,117.714,4201.912715,4258.0848896,0,30343,NONE,1.013368239278145
168.0,0,114.593,4094.5815758,4127.9797301,0,29534,NONE,1.0081566708787515
170.0,0,114.14,4205.8206477,4218.3940706,0,30302,NONE,1.0029895290249422
171.0,0,117.273,4352.8103464,4297.2155117,1362,29890,NONE,0.9872278297753132
