sec,cadence,power,speed,altitude
0.0,0.0,0.0,14.8464,0.0
1.0,0.0,0.0,14.8104,0.0
2.0,52.0,116.0,18.1044,0.0
3.0,59.0,346.0,20.8656,0.0
4.0,66.0,410.0,23.148,0.0
5.0,73.0,417.0,24.9984,0.0
6.0,78.0,416.0,26.604,0.0
7.0,83.0,397.0,27.972,0.0
8.0,86.0,372.0,28.9476,0.0
9.0,89.0,373.0,29.7324,0.0
10.0,93.0,392.0,30.7728,0.0
11.0,95.0,391.0,31.6728,0.0
12.0,96.0,377.0,32.2704,0.0
13.0,99.0,368.0,32.803200000000004,0.0
14.0,100.0,363.0,33.2676,0.0
15.0,102.0,354.0,33.5556,0.0
16.0,98.0,355.0,33.8868,0.0
17.0,92.0,371.0,34.2972,0.0
18.0,93.0,371.0,34.808400000000006,0.0
19.0,94.0,364.0,34.8588,0.0
20.0,95.0,343.0,35.0352,0.0
21.0,95.0,338.0,35.269200000000005,0.0
22.0,96.0,355.0,35.334,0.0
23.0,96.0,359.0,35.604000000000006,0.0
24.0,97.0,350.0,35.6544,0.0
25.0,97.0,349.0,35.6544,0.0
26.0,97.0,350.0,35.7768,0.0
27.0,97.0,365.0,35.8776,0.0
28.0,98.0,371.0,36.1548,0.0
29.0,98.0,361.0,36.1404,0.0
30.0,98.0,349.0,36.1764,0.0
31.0,98.0,338.0,36.1764,0.0
32.0,98.0,338.0,36.1764,0.0
33.0,99.0,358.0,36.3132,0.0
34.0,99.0,371.0,36.3528,0.0
35.0,99.0,378.0,36.5292,0.0
36.0,99.0,372.0,36.6228,0.0
37.0,99.0,356.0,36.6876,0.0
38.0,99.0,348.0,36.5904,0.0
39.0,100.0,345.0,36.6948,0.0
40.0,99.0,346.0,36.5292,0.0
41.0,99.0,348.0,36.5292,0.0
42.0,100.0,363.0,36.6696,0.0
43.0,100.0,381.0,36.723600000000005,0.0
44.0,100.0,387.0,36.828,0.0
45.0,100.0,369.0,36.8928,0.0
46.0,100.0,365.0,36.8928,0.0
47.0,100.0,368.0,36.8928,0.0
48.0,96.0,366.0,36.9,0.0
49.0,94.0,367.0,36.9324,0.0
50.0,94.0,360.0,36.8928,0.0
51.0,94.0,354.0,36.8928,0.0
52.0,94.0,361.0,36.8928,0.0
53.0,94.0,359.0,36.918000000000006,0.0
54.0,94.0,356.0,36.8928,0.0
55.0,94.0,352.0,36.828,0.0
56.0,94.0,355.0,36.8928,0.0
57.0,95.0,371.0,36.9072,0.0
58.0,94.0,373.0,36.9504,0.0
59.0,95.0,365.0,37.0548,0.0
60.0,95.0,363.0,37.058400000000006,0.0
61.0,95.0,361.0,36.9612,0.0
62.0,94.0,355.0,36.9468,0.0
63.0,94.0,355.0,37.062,0.0
64.0,94.0,362.0,36.8928,0.0
65.0,94.0,361.0,36.8964,0.0
66.0,94.0,354.0,36.8928,0.0
67.0,94.0,355.0,36.8928,0.0
68.0,94.0,355.0,36.8928,0.0
69.0,94.0,350.0,36.8064,0.0
70.0,94.0,352.0,36.8784,0.0
71.0,94.0,356.0,36.8784,0.0
72.0,94.0,357.0,36.8928,0.0
73.0,94.0,359.0,36.838800000000006,0.0
74.0,94.0,363.0,36.8928,0.0
75.0,94.0,366.0,36.8928,0.0
76.0,94.0,350.0,36.7704,0.0
77.0,94.0,344.0,36.72,0.0
78.0,94.0,351.0,36.738,0.0
79.0,94.0,354.0,36.7092,0.0
80.0,94.0,357.0,36.7092,0.0
81.0,94.0,356.0,36.8748,0.0
82.0,94.0,352.0,36.882,0.0
83.0,94.0,365.0,36.882,0.0
84.0,94.0,378.0,36.882,0.0
85.0,94.0,353.0,36.72,0.0
86.0,94.0,343.0,36.7092,0.0
87.0,94.0,359.0,36.72,0.0
88.0,94.0,365.0,36.882,0.0
89.0,94.0,362.0,36.8928,0.0
90.0,94.0,350.0,36.8316,0.0
